t_0,t,temperature
1:16:40,0.00,-9.2
1:16:50,10.00,-9.239
1:17:00,20.00,-9.279
1:17:10,30.00,-9.319
1:17:20,40.00,-9.407
1:17:30,50.00,-9.438
1:17:40,60.00,-9.492
1:17:50,70.00,-9.521
1:18:00,80.00,-9.543
1:18:10,90.00,-9.55
1:18:20,100.00,-9.547
1:18:30,110.00,-9.555
1:18:40,120.00,-9.529
1:18:50,130.00,-9.49
1:19:00,140.00,-9.425
1:19:10,150.00,-9.377
1:19:20,160.00,-9.319
1:19:30,170.00,-9.263
1:19:40,180.00,-9.192
1:19:50,190.00,-9.125
1:20:00,200.00,-9.056
1:20:10,210.00,-8.984
1:20:20,220.00,-8.908
1:20:30,230.00,-8.821
1:20:40,240.00,-8.741
1:20:50,250.00,-8.645
1:21:00,260.00,-8.579
1:21:10,270.00,-8.512
1:21:20,280.00,-8.423
1:21:30,290.00,-8.336
1:21:40,300.00,-8.257
1:21:50,310.00,-8.173
1:22:00,320.00,-8.084
1:22:10,330.00,-7.997
1:22:20,340.00,-7.934
1:22:30,350.00,-7.848
1:22:40,360.00,-7.77
1:22:50,370.00,-7.699
1:23:00,380.00,-7.631
1:23:10,390.00,-7.529
1:23:20,400.00,-7.445
1:23:30,410.00,-7.364
1:23:40,420.00,-7.283
1:23:50,430.00,-7.197
1:24:00,440.00,-7.115
1:24:10,450.00,-7.051
1:24:20,460.00,-7.018
1:24:30,470.00,-6.999
1:24:40,480.00,-6.989
1:24:50,490.00,-6.979
1:25:00,500.00,-6.97
1:25:10,510.00,-6.956
1:25:20,520.00,-6.95
1:25:30,530.00,-6.935
1:25:40,540.00,-6.93
1:25:50,550.00,-6.925
1:26:00,560.00,-6.95
1:26:10,570.00,-6.982
1:26:20,580.00,-7.027
1:26:30,590.00,-7.077
1:26:40,600.00,-7.141
1:26:50,610.00,-7.207
1:27:00,620.00,-7.326
1:27:10,630.00,-7.42
1:27:20,640.00,-7.445
1:27:30,650.00,-7.512
1:27:40,660.00,-7.589
1:27:50,670.00,-7.623
1:28:00,680.00,-7.683
1:28:10,690.00,-7.793
1:28:20,700.00,-7.84
1:28:30,710.00,-7.882
1:28:40,720.00,-7.927
1:28:50,730.00,-7.987
1:29:00,740.00,-8.031
1:29:10,750.00,-8.031
1:29:20,760.00,-8.107
1:29:30,770.00,-8.12
1:29:40,780.00,-8.144
1:29:50,790.00,-8.166
1:30:00,800.00,-8.176
1:30:10,810.00,-8.205
1:30:20,820.00,-8.231
1:30:30,830.00,-8.24
1:30:40,840.00,-8.301
1:30:50,850.00,-8.306
1:31:00,860.00,-8.337
1:31:10,870.00,-8.331
1:31:20,880.00,-8.352
1:31:30,890.00,-8.374
1:31:40,900.00,-8.385
1:31:50,910.00,-8.397
1:32:00,920.00,-8.403
1:32:10,930.00,-8.431
1:32:20,940.00,-8.416
1:32:30,950.00,-8.417
1:32:40,960.00,-8.416
1:32:50,970.00,-8.419
1:33:00,980.00,-8.423
1:33:10,990.00,-8.4
1:33:20,1000.00,-8.388
1:33:30,1010.00,-8.39
1:33:40,1020.00,-8.384
1:33:50,1030.00,-8.372
1:34:00,1040.00,-8.351
1:34:10,1050.00,-8.358
1:34:20,1060.00,-8.335
1:34:30,1070.00,-8.325
1:34:40,1080.00,-8.304
1:34:50,1090.00,-8.294
1:35:00,1100.00,-8.278
1:35:10,1110.00,-8.273
1:35:20,1120.00,-8.258
1:35:30,1130.00,-8.244
1:35:40,1140.00,-8.223
1:35:50,1150.00,-8.198
1:36:00,1160.00,-8.192
1:36:10,1170.00,-8.159
1:36:20,1180.00,-8.151
1:36:30,1190.00,-8.128
1:36:40,1200.00,-8.107
1:36:50,1210.00,-8.112
1:37:00,1220.00,-8.152
1:37:10,1230.00,-8.202
1:37:20,1240.00,-8.239
1:37:30,1250.00,-8.295
1:37:40,1260.00,-8.384
1:37:50,1270.00,-8.46
1:38:00,1280.00,-8.568
1:38:10,1290.00,-8.581
1:38:20,1300.00,-8.639
1:38:30,1310.00,-8.725
1:38:40,1320.00,-8.784
1:38:50,1330.00,-8.844
1:39:00,1340.00,-8.878
1:39:10,1350.00,-8.913
1:39:20,1360.00,-8.958
1:39:30,1370.00,-9.001
1:39:40,1380.00,-9.041
1:39:50,1390.00,-9.044
1:40:00,1400.00,-9.065
1:40:10,1410.00,-9.102
1:40:20,1420.00,-9.13
1:40:30,1430.00,-9.148
1:40:40,1440.00,-9.169
1:40:50,1450.00,-9.184
1:41:00,1460.00,-9.21
1:41:10,1470.00,-9.223
1:41:20,1480.00,-9.235
1:41:30,1490.00,-9.251
1:41:40,1500.00,-9.27
1:41:50,1510.00,-9.279
1:42:00,1520.00,-9.283
1:42:10,1530.00,-9.278
1:42:20,1540.00,-9.288
1:42:30,1550.00,-9.274
1:42:40,1560.00,-9.294
1:42:50,1570.00,-9.294
1:43:00,1580.00,-9.296
1:43:10,1590.00,-9.279
1:43:20,1600.00,-9.272
1:43:30,1610.00,-9.263
1:43:40,1620.00,-9.261
1:43:50,1630.00,-9.247
1:44:00,1640.00,-9.233
1:44:10,1650.00,-9.222
1:44:20,1660.00,-9.19
1:44:30,1670.00,-9.194
1:44:40,1680.00,-9.18
1:44:50,1690.00,-9.154
1:45:00,1700.00,-9.122
1:45:10,1710.00,-9.112
1:45:20,1720.00,-9.088
1:45:30,1730.00,-9.058
1:45:40,1740.00,-9.04
1:45:50,1750.00,-8.999
1:46:00,1760.00,-9.001
1:46:10,1770.00,-8.972
1:46:20,1780.00,-8.941
1:46:30,1790.00,-8.922
1:46:40,1800.00,-8.891
1:46:50,1810.00,-8.856
1:47:00,1820.00,-8.829
1:47:10,1830.00,-8.795
1:47:20,1840.00,-8.775
1:47:30,1850.00,-8.795
1:47:40,1860.00,-8.811
1:47:50,1870.00,-8.856
1:48:00,1880.00,-8.916
1:48:10,1890.00,-8.95
1:48:20,1900.00,-9.019
1:48:30,1910.00,-9.057
1:48:40,1920.00,-9.135
1:48:50,1930.00,-9.213
1:49:00,1940.00,-9.266
1:49:10,1950.00,-9.318
1:49:20,1960.00,-9.351
1:49:30,1970.00,-9.43
1:49:40,1980.00,-9.458
1:49:50,1990.00,-9.492
1:50:00,2000.00,-9.514
1:50:10,2010.00,-9.553
1:50:20,2020.00,-9.586
1:50:30,2030.00,-9.616
1:50:40,2040.00,-9.631
1:50:50,2050.00,-9.644
1:51:00,2060.00,-9.676
1:51:10,2070.00,-9.703
1:51:20,2080.00,-9.723
1:51:30,2090.00,-9.73
1:51:40,2100.00,-9.756
1:51:50,2110.00,-9.739
1:52:00,2120.00,-9.764
1:52:10,2130.00,-9.754
1:52:20,2140.00,-9.758
1:52:30,2150.00,-9.769
1:52:40,2160.00,-9.785
1:52:50,2170.00,-9.789
1:53:00,2180.00,-9.774
1:53:10,2190.00,-9.788
1:53:20,2200.00,-9.774
1:53:30,2210.00,-9.769
1:53:40,2220.00,-9.766
1:53:50,2230.00,-9.757
1:54:00,2240.00,-9.732
1:54:10,2250.00,-9.7
1:54:20,2260.00,-9.644
1:54:30,2270.00,-9.569
1:54:40,2280.00,-9.5
1:54:50,2290.00,-9.392
1:55:00,2300.00,-9.32
1:55:10,2310.00,-9.205
1:55:20,2320.00,-9.123
1:55:30,2330.00,-9.016
1:55:40,2340.00,-8.913
1:55:50,2350.00,-8.827
1:56:00,2360.00,-8.73
1:56:10,2370.00,-8.623
1:56:20,2380.00,-8.53
1:56:30,2390.00,-8.421
1:56:40,2400.00,-8.332
1:56:50,2410.00,-8.246
1:57:00,2420.00,-8.157
1:57:10,2430.00,-8.054
1:57:20,2440.00,-7.955
1:57:30,2450.00,-7.861
1:57:40,2460.00,-7.773
1:57:50,2470.00,-7.658
1:58:00,2480.00,-7.594
1:58:10,2490.00,-7.547
1:58:20,2500.00,-7.502
1:58:30,2510.00,-7.489
1:58:40,2520.00,-7.481
1:58:50,2530.00,-7.498
1:59:00,2540.00,-7.501
1:59:10,2550.00,-7.491
1:59:20,2560.00,-7.513
1:59:30,2570.00,-7.503
1:59:40,2580.00,-7.482
1:59:50,2590.00,-7.446
2:00:00,2600.00,-7.451
2:00:10,2610.00,-7.475
2:00:20,2620.00,-7.494
2:00:30,2630.00,-7.531
2:00:40,2640.00,-7.568
2:00:50,2650.00,-7.637
2:01:00,2660.00,-7.678
2:01:10,2670.00,-7.709
2:01:20,2680.00,-7.757
2:01:30,2690.00,-7.785
2:01:40,2700.00,-7.8
2:01:50,2710.00,-7.847
2:02:00,2720.00,-7.904
2:02:10,2730.00,-7.945
2:02:20,2740.00,-7.935
2:02:30,2750.00,-7.969
2:02:40,2760.00,-7.986
2:02:50,2770.00,-8.002
2:03:00,2780.00,-8.024
2:03:10,2790.00,-8.039
2:03:20,2800.00,-8.056
2:03:30,2810.00,-8.081
2:03:40,2820.00,-8.091
2:03:50,2830.00,-8.092
2:04:00,2840.00,-8.103
2:04:10,2850.00,-8.136
2:04:20,2860.00,-8.118
2:04:30,2870.00,-8.122
2:04:40,2880.00,-8.119
2:04:50,2890.00,-8.115
2:05:00,2900.00,-8.121
2:05:10,2910.00,-8.124
2:05:20,2920.00,-8.104
2:05:30,2930.00,-8.097
2:05:40,2940.00,-8.086
2:05:50,2950.00,-8.086
2:06:00,2960.00,-8.084
2:06:10,2970.00,-8.078
2:06:20,2980.00,-8.057
2:06:30,2990.00,-8.063
2:06:40,3000.00,-8.045
2:06:50,3010.00,-8.022
2:07:00,3020.00,-8.024
2:07:10,3030.00,-7.991
2:07:20,3040.00,-7.975
2:07:30,3050.00,-7.972
2:07:40,3060.00,-7.946
2:07:50,3070.00,-7.939
2:08:00,3080.00,-7.914
2:08:10,3090.00,-7.889
2:08:20,3100.00,-7.897
2:08:30,3110.00,-7.863
2:08:40,3120.00,-7.846
2:08:50,3130.00,-7.842
2:09:00,3140.00,-7.874
2:09:10,3150.00,-7.915
2:09:20,3160.00,-7.957
2:09:30,3170.00,-8.005
2:09:40,3180.00,-8.066
2:09:50,3190.00,-8.166
2:10:00,3200.00,-8.238
2:10:10,3210.00,-8.278
2:10:20,3220.00,-8.373
2:10:30,3230.00,-8.418
2:10:40,3240.00,-8.492
2:10:50,3250.00,-8.534
2:11:00,3260.00,-8.594
2:11:10,3270.00,-8.627
2:11:20,3280.00,-8.713
2:11:30,3290.00,-8.748
2:11:40,3300.00,-8.773
2:11:50,3310.00,-8.846
2:12:00,3320.00,-8.846
2:12:10,3330.00,-8.862
2:12:20,3340.00,-8.905
2:12:30,3350.00,-8.913
2:12:40,3360.00,-8.949
2:12:50,3370.00,-8.961
2:13:00,3380.00,-8.987
2:13:10,3390.00,-9.006
2:13:20,3400.00,-9.005
2:13:30,3410.00,-9.028
2:13:40,3420.00,-9.047
2:13:50,3430.00,-9.07
2:14:00,3440.00,-9.078
2:14:10,3450.00,-9.098
2:14:20,3460.00,-9.097
2:14:30,3470.00,-9.111
2:14:40,3480.00,-9.11
2:14:50,3490.00,-9.117
2:15:00,3500.00,-9.113
2:15:10,3510.00,-9.102
2:15:20,3520.00,-9.108
2:15:30,3530.00,-9.103
2:15:40,3540.00,-9.102
2:15:50,3550.00,-9.1
2:16:00,3560.00,-9.091
2:16:10,3570.00,-9.083
2:16:20,3580.00,-9.068
2:16:30,3590.00,-9.052
2:16:40,3600.00,-9.043
2:16:50,3610.00,-9.027
2:17:00,3620.00,-9.012
2:17:10,3630.00,-9
2:17:20,3640.00,-8.975
2:17:30,3650.00,-8.963
2:17:40,3660.00,-8.941
2:17:50,3670.00,-8.906
2:18:00,3680.00,-8.896
2:18:10,3690.00,-8.869
2:18:20,3700.00,-8.865
2:18:30,3710.00,-8.83
2:18:40,3720.00,-8.802
2:18:50,3730.00,-8.763
2:19:00,3740.00,-8.742
2:19:10,3750.00,-8.726
2:19:20,3760.00,-8.707
2:19:30,3770.00,-8.687
2:19:40,3780.00,-8.667
2:19:50,3790.00,-8.664
2:20:00,3800.00,-8.699
2:20:10,3810.00,-8.726
2:20:20,3820.00,-8.79
2:20:30,3830.00,-8.831
2:20:40,3840.00,-8.895
2:20:50,3850.00,-8.986
2:21:00,3860.00,-9.034
2:21:10,3870.00,-9.063
2:21:20,3880.00,-9.121
2:21:30,3890.00,-9.165
2:21:40,3900.00,-9.249
2:21:50,3910.00,-9.306
2:22:00,3920.00,-9.355
2:22:10,3930.00,-9.406
2:22:20,3940.00,-9.432
2:22:30,3950.00,-9.445
2:22:40,3960.00,-9.485
2:22:50,3970.00,-9.522
2:23:00,3980.00,-9.536
2:23:10,3990.00,-9.549
2:23:20,4000.00,-9.583
2:23:30,4010.00,-9.604
2:23:40,4020.00,-9.608
2:23:50,4030.00,-9.637
2:24:00,4040.00,-9.639
2:24:10,4050.00,-9.673
2:24:20,4060.00,-9.678
2:24:30,4070.00,-9.693
2:24:40,4080.00,-9.695
2:24:50,4090.00,-9.696
2:25:00,4100.00,-9.695
2:25:10,4110.00,-9.715
2:25:20,4120.00,-9.72
2:25:30,4130.00,-9.7
2:25:40,4140.00,-9.71
2:25:50,4150.00,-9.698
2:26:00,4160.00,-9.686
2:26:10,4170.00,-9.682
2:26:20,4180.00,-9.671
2:26:30,4190.00,-9.655
2:26:40,4200.00,-9.656
