4171,3.01906,-1.49442,
4181,3.02514,-1.4944,
4191,3.0319,-1.49427,
4201,3.03895,-1.49452,
4211,3.04646,-1.4945,
4221,3.05378,-1.49443,
4231,3.06115,-1.49428,
4241,3.06928,-1.49434,
4251,3.07721,-1.4944,
4261,3.08522,-1.49446,
4271,3.09345,-1.49438,
4281,3.10143,-1.49414,
4291,3.10936,-1.49439,
4301,3.11715,-1.49456,
4311,3.12474,-1.49439,
4321,3.13561,-1.49437,Finish=MaxDischargeTime
4351,3.62284,-0.00095763,
4381,3.7037,-0.000972244,
4411,3.74902,-0.00098195,
4441,3.78011,-0.00098881,
4471,3.80352,-0.000994313,
4501,3.82228,-0.000998868,
4531,3.83831,-0.00100266,
4561,3.85159,-0.00100578,
4591,3.86308,-0.00100874,
4621,3.87329,-0.00101112,
4652,3.88238,-0.00101345,
4682,3.89041,-0.00101533,
4712,3.89761,-0.00101717,
4742,3.90413,-0.00101877,
4772,3.91001,-0.00102018,
4802,3.91543,-0.00102156,
4832,3.92017,-0.00102284,
4862,3.92475,-0.00102384,
4892,3.92879,-0.0010249,
4922,3.9326,-0.0010259,
4952,3.93614,-0.00102682,
4982,3.93949,-0.00102763,
5012,3.9425,-0.00102839,
5042,3.94541,-0.00102918,
5072,3.94827,-0.00102986,
5102,3.95085,-0.00103048,
5132,3.95338,-0.00103119,
5162,3.9557,-0.00103176,
5192,3.95791,-0.00103235,
5222,3.96005,-0.00103281,
5252,3.96203,-0.00103335,
5282,3.96405,-0.0010339,
5312,3.96584,-0.0010343,
5342,3.96759,-0.00103474,
5372,3.96914,-0.00103514,
5402,3.97073,-0.00103555,
5432,3.9721,-0.00103593,
5462,3.97348,-0.00103626,
5492,3.97478,-0.00103658,
5522,3.97601,-0.00103688,
5552,3.97716,-0.00103715,
5582,3.97831,-0.00103748,
5612,3.97946,-0.00103783,
5642,3.98053,-0.00103807,
5672,3.98157,-0.00103834,
5702,3.98254,-0.00103859,
5732,3.9836,-0.00103883,
5762,3.9846,-0.00103908,
5792,3.98546,-0.00103943,
5822,3.98644,-0.00103962,
5852,3.98731,-0.00103983,
5882,3.98821,-0.00103997,
