SOC,OCV
0,2.5
0.01,3.18
0.05,3.35
0.1,3.38
0.15,3.5
0.2,3.57
0.25,3.62
0.3,3.68
0.35,3.72
0.4,3.77
0.45,3.85
0.5,3.88
0.55,3.95
0.6,3.99
0.65,4.23
