SOC,OCV
0,2.5
0.01,2.96
0.05,3.13
0.1,3.2
0.15,3.27
0.2,3.35
0.25,3.45
0.3,3.5
0.35,3.53
0.4,3.6
0.45,3.67
0.5,3.73
0.55,3.77
0.6,3.81
0.65,3.85
0.7,3.91
0.75,3.95
0.8,4
0.85,4.07
0.9,4.13
0.925,4.18
