SOC,OCV
0,2.5
0.01,2.7
0.05,2.96
0.1,3.15
0.15,3.24
0.2,3.29
0.25,3.35
0.3,3.39
0.35,3.48
0.4,3.54
0.45,3.61
0.5,3.68
0.55,3.75
0.6,3.81
0.65,3.84
0.7,3.88
0.75,3.95
0.8,4.02
0.85,4.07
0.9,4.08
0.95,4.126
1,4.2
